Geography,US_CS_2019,Pop_Est_2018,EV_2018,EV_total_2025,Weight_Range_low,Weight_Range_high,Housing_detached,Housing_units_1_attached,Apartments,One_car,Two_cars,Value_Median_dollars,Inc_household,DX32,DX90,lat,long
Shasta_County,16,180040,223,3084,9660,580,55325,1387,10639,65641,23466,25538,41236,89,4,40.8669,-121.8463
Sierra_County,1,2987,1,14,5796,116,2040,55,58,1142,355,548,52439,53,1,39.5633,-120.8238
Siskiyou_County,8,43724,50,691,8050,348,18109,217,2079,17628,5452,6799,37108,74,2,41.9797,-122.3378
Solano_County,91,446610,1224,16927,8050,116,110187,7080,30976,139303,40153,54751,77133,74,1,38.2736,-122.0677
Sonoma_County,126,499942,3584,49563,5957,464,142398,16650,33950,180816,58941,72522,80409,55,3,38.3208,-123.0747
Stanislaus_County,25,549815,857,11851,6923,116,136503,6415,25104,159896,50421,64946,59514,64,1,37.7892,-120.7518
Sutter_County,1,96807,92,1272,3059,1508,24633,1498,5518,30066,9493,11863,55062,28,9,38.9261,-121.5447
Tehama_County,3,63916,39,539,5957,1160,18112,414,2593,22052,7127,8785,43459,55,7,40.2821,-122.3784
Trinity_County,3,12535,11,152,2254,580,6342,40,327,5164,1864,1799,35708,21,4,40.7263,-122.7947
Tulare_County,14,465861,634,8768,9660,232,110555,3866,18111,126665,42662,51147,46266,89,1,36.1753,-118.7017
Tuolumne_County,7,54539,75,1037,13685,116,25404,489,2067,21225,6357,8382,50774,126,1,37.9672,-120.3872
Ventura_County,85,850967,4015,55523,5635,116,182055,31975,57281,258110,68329,108034,82857,52,1,34.1847,-118.7172
Yolo_County,22,220408,973,13455,9177,812,45251,5385,21591,67188,23333,26571,65729,84,5,38.5523,-121.7855
Yuba_County,2,78041,52,719,9982,1160,19674,836,3823,23909,7234,10109,63120,92,7,39.3308,-121.1922
