STATION,County,NAME,LATITUDE,LONGITUDE,LatLong,,ELEVATION,DATE,CLDD,DT00,DX32,DX70,DX90,HTDD
US1NYRN0001,Rensselaer,"AVERILL PARK 0.9 WNW, NY US",42.6391,-73.5698,"(42.6391, -73.5698)",,192.9,2018,,,,,,
US1NYRL0005,Rocklans,"WEST NYACK 1.3 WSW, NY US",41.0835,-73.993,"(41.0835, -73.993)",,81.7,2018,,,,,,
SARATOGA,,,,,,,,,,7.666666667,37.33333333,133.3333333,16.33333333,
US1NYSR0004,Saratoga,"SARATOGA SPRINGS 0.5 S, NY US",43.0603,-73.7801,"(43.0603, -73.7801)",,94.5,2018,,,,,,
USC00305248,Saratoga,"MELROSE 1 NE, NY US",42.85023,-73.60939,"(42.85023, -73.60939)",,106.7,2018,,,,,,
USR0000NSAR,Saratoga,"SARA NEW YORK, NY US",43.0078,-73.6511,"(43.0078, -73.6511)",,114.3,2018,938,7,37,139,31,6448
USC00301708,Saratoga,"CONKLINGVILLE DAM, NY US",43.3203,-73.9256,"(43.3203, -73.9256)",,246.3,2018,517,8,42,116,0,7241
USC00307484,Saratoga,"SARATOGA SPRINGS 4 SW, NY US",43.04121,-73.82109,"(43.04121, -73.82109)",,99.4,2018,942,8,33,145,18,6348
SCHOHARIE,,,,,,,,,,10,49,132,10.5,
USC00301595,Schoharie,"COBLESKILL 2 ESE, NY US",42.66717,-74.44239,"(42.66717, -74.44239)",,356.3,2018,,,68,129,7,7077
USC00304575,Schoharie,"LANSING MANOR, NY US",42.4486,-74.4653,"(42.4486, -74.4653)",,335.3,2018,526,10,30,135,14,6586
SCHUYLER,,,,,,,,,,12,64,130,3,
USC00305233,Schuyler,"MECKLENBURG 4 SW, NY US",42.4422,-76.7586,"(42.4422, -76.7586)",,460.2,2018,479,12,64,130,3,7491
US1NYSY0006,Schuyler,"WATKINS GLEN 4.6 NW, NY US",42.4177,-76.9425,"(42.4177, -76.9425)",,434.3,2018,,,,,,
US1NYSY0001,Schuyler,"SMITH VALLEY 1.9 SE, NY US",42.3907,-76.7176,"(42.3907, -76.7176)",,426.1,2018,,,,,,
USC00303346,St. Lawerence,"GOUVERNEUR 3 NW, NY US",44.354,-75.5123,"(44.354, -75.5123)",,128,2018,505,34,64,125,5,8197
ST LAWERENCE,,,,,,,,,,28,69,123,13,
USC00306164,St. Lawerence,"OGDENSBURG 4 NE, NY US",44.7281,-75.4442,"(44.7281, -75.4442)",,85.3,2018,,,66,119,13,
